nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
Grand Theft Auto V,2013,Action,Action,PC,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One,Rockstar Games,Rockstar North,4.5,+17,Grand Theft Auto V é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 4.5/5 na base RAWG.,1.0,69,longo,4289,426,16933.5,grand theft auto v action pc||xbox series s/x||playstation 5||playstation 4||playstation 3||xbox 360||xbox one rockstar games rockstar north
Portal 2,2011,Shooter,Shooter||Puzzle,Xbox One,Xbox One||PlayStation 3||PC||Xbox 360||Linux||macOS,Electronic Arts,Valve Software,4.6,+10,Portal 2 é um jogo de Shooter lançado em 2011 para Xbox One. Ele possui nota média aproximada de 4.6/5 na base RAWG.,0.9187,11,medio,3613,589,15557.0,portal 2 shooter||puzzle xbox one||playstation 3||pc||xbox 360||linux||macos electronic arts valve software
The Witcher 3: Wild Hunt,2015,Action,Action||Adventure||RPG,PC,PC||Xbox One||Nintendo Switch||PlayStation 4,CD PROJEKT RED,CD PROJEKT RED,4.7,+17,The Witcher 3: Wild Hunt é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 4.7/5 na base RAWG.,0.8894,50,longo,3939,688,15061.5,the witcher 3: wild hunt action||adventure||rpg pc||xbox one||nintendo switch||playstation 4 cd projekt red cd projekt red
Tomb Raider (2013),2013,Action,Action||Adventure,PC,PC||PlayStation 4||PlayStation 3||Xbox 360||Xbox One||macOS,Square Enix,Crystal Dynamics,4.1,+17,Tomb Raider (2013) é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.7954,11,medio,2527,673,13469.5,tomb raider (2013) action||adventure pc||playstation 4||playstation 3||xbox 360||xbox one||macos square enix crystal dynamics
Portal,2007,Action,Action||Adventure||Puzzle,macOS,macOS||Android||PC||Linux||PlayStation 3||Xbox 360,Valve,Valve Software,4.5,+13,Portal é um jogo de Action lançado em 2007 para macOS. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.7757,4,curto,3050,329,13134.5,portal action||adventure||puzzle macos||android||pc||linux||playstation 3||xbox 360 valve valve software
BioShock Infinite,2013,Action,Action||Shooter,PC,PC||Nintendo Switch||Linux||PlayStation 3||PlayStation 4||Xbox 360||Xbox One,2K Games,Aspyr Media,4.4,+17,BioShock Infinite é um jogo de Action lançado em 2013 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.7684,12,medio,2769,599,13012.5,bioshock infinite action||shooter pc||nintendo switch||linux||playstation 3||playstation 4||xbox 360||xbox one 2k games aspyr media
The Elder Scrolls V: Skyrim,2011,Action,Action||RPG,PC,PC||PlayStation 3||Xbox 360||Nintendo Switch,Bethesda Softworks,Bethesda Softworks,4.4,+17,The Elder Scrolls V: Skyrim é um jogo de Action lançado em 2011 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.7578,44,longo,3033,625,12831.5,the elder scrolls v: skyrim action||rpg pc||playstation 3||xbox 360||nintendo switch bethesda softworks bethesda softworks
Life is Strange,2015,Adventure,Adventure,Android,Android||Xbox 360||iOS||macOS||Linux||Xbox One||PlayStation 4||PC||PlayStation 3,Square Enix,DONTNOD Entertainment,4.1,+17,Life is Strange é um jogo de Adventure lançado em 2015 para Android. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.751,7,medio,2481,858,12717.5,life is strange adventure android||xbox 360||ios||macos||linux||xbox one||playstation 4||pc||playstation 3 square enix dontnod entertainment
Left 4 Dead 2,2009,Action,Action||Shooter,PC,PC||Xbox 360,Electronic Arts,Valve Software,4.1,+17,Left 4 Dead 2 é um jogo de Action lançado em 2009 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.7061,9,medio,2107,610,11956.0,left 4 dead 2 action||shooter pc||xbox 360 electronic arts valve software
Half-Life 2,2004,Action,Action||Shooter,Android,Android||Linux||Xbox||macOS||PC||Xbox 360,Valve,Valve Software,4.5,+17,Half-Life 2 é um jogo de Action lançado em 2004 para Android. Ele possui nota média aproximada de 4.5/5 na base RAWG.,0.696,7,medio,2516,581,11785.5,half-life 2 action||shooter android||linux||xbox||macos||pc||xbox 360 valve valve software
